"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 18 23:41:56 UTC 2024","Sat May 18 23:41:59 UTC 2024","3274","My Test Suite","My Single Test","apiauto.apiTest","apiauto.apiTest","getEmployeesPositifTest","getEmployeesPositifTest",""
"passed","Sat May 18 23:41:59 UTC 2024","Sat May 18 23:41:59 UTC 2024","167","My Test Suite","My Single Test","apiauto.apiTest","apiauto.apiTest","postNewEmployeeTest","postNewEmployeeTest",""
